| `request` | root | Generic response-expected message. Required payload: `operation` (string). | At-least-once, timeout required. | Yes (timeout, correlation) | `{ "operation": "fetch" }` |
| `request.data` | `request` | Data retrieval request. Required payload: `query` (string). | At-least-once, timeout required. | Yes | `{ "query": "active incidents" }` |
| `request.approval` | `request` | Request requiring approval workflow. Required payload: `action`, `risk_level`. | At-least-once to approval service. | Yes (routes to approval queue) | `{ "action": "deploy", "risk_level": "high" }` |
| `request.action` | `request` | Command/action request. Required payload: `action` (string), `args` (object). | At-least-once, timeout required. | Yes | `{ "action": "restart", "args": {"service":"api"} }` |
| `response` | root | Generic reply message. Required payload: `request_id`. | At-least-once to requester. | Yes (must reference prior request) | `{ "request_id": "..." }` |
| `response.success` | `response` | Successful request completion. Required payload: `request_id`, `result`. | At-least-once to requester. | Yes (correlation + closure) | `{ "request_id": "...", "result": {} }` |
| `response.error` | `response` | Failed request completion. Required payload: `request_id`, `code`, `message`. | At-least-once to requester. | Yes (error classification) | `{ "request_id":"...", "code":"E_TIMEOUT", "message":"upstream timed out" }` |
| `response.partial` | `response` | Partial/streaming reply chunk. Required payload: `request_id`, `chunk`, `final` (bool). | At-least-once, ordered per request stream. | Yes (sequence checks) | `{ "request_id":"...", "chunk":"page 1", "final":false }` |
| `context-provide` | root | Informational context only; non-actionable. Required payload: `summary` (string). | Best-effort. | Yes (no automatic reply allowed) | `{ "summary": "cache warmed" }` |
| `no-response` | root | Explicitly suppresses replies to prevent loops. Required payload: `reason` (string). | Best-effort. | Yes (drop generated responses) | `{ "reason": "heartbeat" }` |
| `progress` | root | Generic status update. Required payload: `job_id` (string), `status` (string). | Best-effort. | Yes (throttling/rate limits) | `{ "job_id":"b-42", "status":"running" }` |
| `progress.percentage` | `progress` | Numeric progress report. Required payload: `job_id`, `percent` (0-100). | Best-effort. | Yes (range validation) | `{ "job_id":"b-42", "percent": 54 }` |
| `progress.milestone` | `progress` | Milestone completion update. Required payload: `job_id`, `milestone`. | Best-effort. | Yes | `{ "job_id":"b-42", "milestone":"tests_passed" }` |
| `error` | root | Unsolicited error report. Required payload: `code`, `message`. | At-least-once. | Yes (severity routing) | `{ "code":"E_IO", "message":"disk full" }` |
| `error.fatal` | `error` | Unrecoverable error requiring intervention. Required payload: `code`, `message`, `component`. | At-least-once + escalation. | Yes (escalate + page policy) | `{ "code":"E_PANIC", "message":"panic", "component":"planner" }` |
| `error.recoverable` | `error` | Recoverable error with retry plan. Required payload: `code`, `message`, `retryable` (bool). | At-least-once. | Yes (retry budget checks) | `{ "code":"E_RATE", "message":"retry later", "retryable":true }` |
| `approval` | root | Approval workflow event family. Required payload: `approval_id`. | Exactly-once. | Yes (idempotency key required) | `{ "approval_id":"apr-119" }` |
| `approval.request` | `approval` | Open approval request. Required payload: `approval_id`, `action`, `requested_by`. | Exactly-once. | Yes (dedupe + persistence) | `{ "approval_id":"apr-119", "action":"deploy", "requested_by":"agent.ops" }` |
| `approval.granted` | `approval` | Approval granted event. Required payload: `approval_id`, `approver`. | Exactly-once. | Yes (single terminal decision) | `{ "approval_id":"apr-119", "approver":"human.alex" }` |
| `approval.denied` | `approval` | Approval denied event. Required payload: `approval_id`, `approver`, `reason`. | Exactly-once. | Yes (single terminal decision) | `{ "approval_id":"apr-119", "approver":"human.alex", "reason":"change freeze" }` |
| `system` | root | System lifecycle/control family. Required payload: `event`. | At-most-once accepted, best-effort emitted. | Yes (reserved namespace) | `{ "event":"join" }` |
| `system.join` | `system` | Principal joined channel/mesh. Required payload: `principal_id`, `scope`. | Best-effort. | Yes | `{ "principal_id":"agent.search", "scope":"group.incident-room" }` |
| `system.leave` | `system` | Principal left channel/mesh. Required payload: `principal_id`, `scope`. | Best-effort. | Yes | `{ "principal_id":"agent.search", "scope":"group.incident-room" }` |
| `system.heartbeat` | `system` | Liveness ping. Required payload: `principal_id`, `ttl_ms`. | Best-effort with broker sampling. | Yes (rate-limited) | `{ "principal_id":"agent.search", "ttl_ms":30000 }` |
